"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AdminaStar Federal, Inc.","Anthem","$6,000,000","$0","$6,000,000","2005","20050920","government-contracting-related offenses","False Claims Act and related","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2018","20180726","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California Partnership Plan, Inc.","Anthem","$325,500","$0","$325,500","2018","20180726","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California+Partnership+Plan%2c+Inc.+",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$50,000","$0","$50,000","2018","20180828","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2018","20181130","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2018","20181228","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2019","20190108","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$100,000","$0","$100,000","2019","20190108","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/docs/3274/1547497862265.pdf",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2019","20190325","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2019","20190423","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2019","20190423","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2019","20190520","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California (Anthem Blue Cross)","Anthem","$2,800,000","$0","$2,800,000","2019","20190606","consumer-protection-related offenses","insurance violation","","repeated failures to properly identify and handle enrollee grievances and appeals","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/June6,2019.aspx",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2019","20190912","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2019","20190918","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2019","20191023","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2019","20191104","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2019","20191121","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California (Anthem Blue Cross)","Anthem","$30,000","$0","$30,000","2019","20191218","consumer-protection-related offenses","insurance violation","","improper denial of care","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/December18,2019.aspx",""
"Blue Cross of California Partnership Plan","Anthem","$450,000","$0","$450,000","2019","20191218","consumer-protection-related offenses","insurance violation","","improper denial of care","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/December18,2019.aspx",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2020","20200124","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2020","20200220","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Rocky Mountain Hospital and Medical Service, Inc.","Anthem","$290,000","$0","$290,000","2008","20080718","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWbDVIRk1lVUdtV0U/view",""
"Rocky Mountain Hospital and Medical Service, Inc.","Anthem","$20,900","$0","$20,900","2014","20140318","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWTkhaQUcxbDAzVGc/view",""
"Unicare Life & Health Insurance Co.","Anthem","$20,000","$0","$20,000","2010","20100720","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/UnicareLH102525-09-CO.pdf",""
"Anthem Insurance Companies, Inc.","Anthem","$50,000","$0","$50,000","2003","20031222","consumer-protection-related offenses","insurance violation","","","state","agency action","Indiana Department of Insurance","civil","","","","","","Indiana","Indianapolis","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.in.gov/idoi/files/enforcement/IDOI-CO03-025b.pdf",""
"Anthem Insurance Companies, Inc.","Anthem","$5,000","$0","$5,000","2008","20081020","consumer-protection-related offenses","insurance violation","","","state","agency action","Indiana Department of Insurance","civil","","","","","","Indiana","Indianapolis","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.in.gov/idoi/files/enforcement/6626_fo_001.pdf",""
"Anthem Health Plans of Maine, Inc.","Anthem","$5,000","$0","$5,000","2005","20050101","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2005-2009/pdf/05-205.pdf","The copy of the Order available on agency webpage is undated"
"Anthem Health Plans of Maine, Inc.","Anthem","$225,000","$0","$225,000","2017","20170103","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2015-2019/16-221.pdf",""
"Unicare Life and Health Insurance Co.","Anthem","$5,000","$0","$5,000","2004","20040302","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={64F2D163-3F98-44BD-A5C0-5219E5502BE0}",""
"Unicare Life & Health Insurance Co.","Anthem","$23,810","$0","$23,810","2007","20070719","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/unicare_stipulation.pdf",""
"Healthy Alliance Life Insurance Co.","Anthem","$7,800,000","$0","$7,800,000","2014","20140801","consumer-protection-related offenses","insurance violation","","Healthy Alliance agreed to set up a $7.8 million fund for payment of refunds in settlement of allegations it converted subscribers to a health benefit plan without informing them that cheaper equivalent options were available from the company.","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://insurance.mo.gov/Contribute%20Documents/HealthyAllLifeInsStip.pdf",""
"Anthem Life Insurance Company","Anthem","$150,000","$0","$150,000","2009","20090622","consumer-protection-related offenses","insurance violation","","","state","agency action","New Hampshire Insurance Department","civil","","","","","","New Hampshire","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.nh.gov/insurance/legal/enforcement/documents/09-053-ep.pdf",""
"Empire HealthChoice","Anthem","$61,080,867","$0","$61,080,867","2011","20111109","consumer-protection-related offenses","insurance violation","","New York State authorities ordered 11 insurance companies to refund a total of $114.5 million to holders of policies that covered 573,748 people who were overcharged for health insurance premiums in 2010.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1111091",""
"Empire HealthChoice","Anthem","$480,440","$0","$480,440","2012","20120508","consumer-protection-related offenses","insurance violation","","The Department of Financial Services fined a group of insurance companies a total of $2.7 million for failing to notify small businesses that they were eligible to buy special insurance coverage for mental illnesses and children with serious emotional disturbances.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1205082",""
"Empire Healthchoice Assurance, Inc.","Anthem","$85,325","$0","$85,325","2018","20181031","consumer-protection-related offenses","insurance violation","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","New York","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.dfs.ny.gov/system/files/documents/2019/01/da20190104.pdf",""
"Healthy Alliance Life Insurance Company","Anthem","$5,000","$0","$5,000","2007","20070104","consumer-protection-related offenses","insurance violation","","","state","agency action","Oregon Division of Financial Regulation","civil","","","","","","Oregon","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://dfr.oregon.gov/AdminOrders/actions_2007/insurer_2007/marketplace_2007/06-11-004.pdf",""
"AmeriGroup Texas, Inc.","Anthem","$40,000","$0","$40,000","2015","20151210","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","Houston","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20154217.pdf",""
"Amerigroup Texas, Inc.","Anthem","$75,000","$0","$75,000","2020","20200331","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","Houston","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20206303.pdf",""
"UNICARE LIFE & HEALTH INS CO","Anthem","$5,000","$0","$5,000","2002","20020319","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2002-00066","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://scc.virginia.gov/docketsearch/DOCS/%23%23701!.PDF",""
"ANTHEM HEALTH PLANS OF VA INC","Anthem","$180,000","$0","$180,000","2004","20041119","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2004-00302","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://scc.virginia.gov/docketsearch/DOCS/127401!.PDF",""
"Anthem Health Plans of Virginia, Inc.","Anthem","$105,000","$0","$105,000","2007","20070730","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2007-00219","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://scc.virginia.gov/docketsearch/DOCS/1jhd01!.PDF",""
"ANTHEM HEALTH PLANS OF VA INC.","Anthem","$29,000","$0","$29,000","2009","20090625","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2009-00067","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://scc.virginia.gov/docketsearch/DOCS/1xbt01!.PDF",""
"ANTHEM HEALTH PLANS OF VA INC.","Anthem","$129,000","$0","$129,000","2012","20120823","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2012-00138","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://scc.virginia.gov/docketsearch/DOCS/2_qh01!.PDF",""
"Anthem Health Plans of Virginia, Inc.","Anthem","$56,750","$0","$56,750","2019","20190221","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.scc.virginia.gov/docketsearch/DOCS/4%23m801!.PDF",""
"Anthem Health Plans of Virginia, Inc.","Anthem","$40,000","$0","$40,000","2019","20191125","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.scc.virginia.gov/docketsearch/DOCS/4k0j01!.PDF",""
"Anthem Health Plans ofVirginia, Inc., and HealthKeepers, Inc.","Anthem","$27,000","$0","$27,000","2020","20200311","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.scc.virginia.gov/docketsearch/DOCS/4ltp01!.PDF",""
"Anthem Health Plans of Virginia, Inc","Anthem","$132,600","$0","$132,600","2020","20200413","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://scc.virginia.gov/docketsearch/DOCS/4md%4001!.PDF",""
"Unicare Life & Health Insurance Company","Anthem","$100,000","$0","$100,000","2012","20120112","consumer-protection-related offenses","insurance violation","","Fine levied for using unapproved rates and rating methodologies; Not keeping full and adequate accounts and records of its transactions and affairs; Using policy forms in Washington which contained an unapproved coverage exclusion; Using unlicensed and/or unappointed producers to market and sell po...","state","agency action","Washington State Office of the Insurance Commissioner","civil","","","","","","Washington","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://fortress.wa.gov/oic/consumertoolkit/search.aspx?searchtype=ord",""
"Anthem Inc.","Anthem","$8,690,000","$0","$8,690,000","2020","20200930","consumer-protection-related offenses","privacy violation","","The California Attorney General announced an $8.69 million settlement against Anthem, Inc., resolving allegations that the health insurance provider violated consumer protection and privacy laws arising from a 2014 data breach. California's settlement, reached in parallel with a related multistate settlement (see separate entry), includes injunctive terms that require Anthem to make changes to its information security program and remedy the vulnerabilities that permitted the data breach. ","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.oag.ca.gov/news/press-releases/attorney-general-becerra-announces-869-million-settlement-against-anthem-inc",""
"Blue Cross of California","Anthem","$7,500","$0","$7,500","2020","20201120","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$44,750","$0","$44,750","2020","20201118","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$10,000","$0","$10,000","2020","20201118","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$6,500","$0","$6,500","2020","20201118","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$7,500","$0","$7,500","2020","20201030","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California Partnership Plan, Inc.","Anthem","$1,205,000","$0","$1,205,000","2020","20201028","consumer-protection-related offenses","insurance violation","","The California Department of Managed Health Care imposed $1,205,000 in fines against Blue Cross of California Partnership Plan, Inc. for its failure to timely implement two Independent Medical Review (IMR) determinations to authorize coverage for medically necessary services.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/October28,2020.aspx",""
"Blue Cross of California Partnership Plan, Inc.","Anthem","$205,000","$0","$205,000","2020","20201027","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2020","20200923","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California Partnership Plan, Inc.","Anthem","$5,000","$0","$5,000","2020","20200722","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California Partnership Plan, Inc.","Anthem","$5,000","$0","$5,000","2020","20200721","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$7,500","$0","$7,500","2020","20200602","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$15,000","$0","$15,000","2020","20200515","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$7,500","$0","$7,500","2020","20200411","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2020","20200408","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$17,500","$0","$17,500","2020","20200306","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California Partnership Plan, Inc.","Anthem","$7,500","$0","$7,500","2020","20200306","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Anthem Inc.","Anthem","$39,500,000","$0","$39,500,000","2020","20200930","consumer-protection-related offenses","privacy violation","","Anthem agreed to a $39.5 million settlement with 43 states and the District of Columbia to resolve allegations stemming from a 2014 data breach that involved the personal information of 78.8 million Americans. Anthem also agreed to a series of data security and good governance provisions designed to strengthen its practices going forward.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.azag.gov/press-release/anthem-pay-395-million-multistate-settlement-over-2014-data-breach",""
"Anthem, Inc.","Anthem","$115,000,000","$0","$115,000,000","2018","20180815","consumer-protection-related offenses","privacy violation","","data breach","federal","private litigation","","civil","","Northern District of California","5:15md2617","In Re Anthem, Inc. Data Breach Litigation","settlement","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.lawyersandsettlements.com/settlements/19513/115m-anthem-data-breach-class-action-settlement.html",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2021","20210201","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3888/1612397849369.pdf",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,000","$0","$7,000","2021","20210126","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3887/1611859222099.pdf",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2021","20210113","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3882/1610741043448.pdf",""
"Blue Cross of California Partnership Plan, Inc.","Anthem","$10,000","$0","$10,000","2020","20201230","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3876/1609375100135.pdf",""
"Anthem, Inc.","Anthem","$318,975","$0","$318,975","2020","20201117","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.cms.gov/medicarecompliance-and-auditspart-c-and-part-d-compliance-and-auditspartcandpartdenforcementactions/antheminccmp111720",""
